,Planned dates,MRP element,Start date,MRP elmnt data,Rescheduling date,Exception,Rec./reqd qty,Avail. quantity,Plng plant,Stg.Loc.2,Stor. Loc.,Delivery P,Shipping c
,2022/6/13,PRqRel,,0386413755/00010,,,-1,2,701V,1000,,,
,2022/6/13,PRqRel,,0386413843/00010,,,-1,1,701W,1000,,,
,2022/6/14,PRqRel,,0386413754/00010,,,-1,0,701V,1000,,,
,2022/6/14,PRqRel,,0386413842/00010,,,-1,-1,701W,1000,,,
,2022/6/27,PRqRel,,0387480602/00010,,,-1,-2,701V,1000,,,
,2022/6/27,PRqRel,,0387480608/00010,,,-1,-3,701W,1000,,,
,2022/6/28,PRqRel,,0386413846/00010,,,-1,-4,701W,1000,,,
,2022/6/28,PRqRel,,0387480603/00010,,,-1,-5,701V,1000,,,
,2022/6/29,PRqRel,,0386413762/00010,,,-1,-6,701V,1000,,,
,2022/7/11,PRqRel,,0390101574/00010,,,-1,-7,701V,1000,,,
,2022/7/11,PRqRel,,0390101577/00010,,,-1,-8,701W,1000,,,
,2022/7/12,PRqRel,,0386413848/00010,,,-1,-9,701W,1000,,,
,2022/7/12,PRqRel,,0390101575/00010,,,-1,-10,701V,1000,,,
,2022/7/25,PRqRel,,0386413765/00010,,,-1,-11,701V,1000,,,
,2022/7/25,PRqRel,,0386413849/00010,,,-1,-12,701W,1000,,,
,2022/7/26,PRqRel,,0392570867/00010,,,-1,-13,701V,1000,,,
,2022/7/26,PRqRel,,0392570871/00010,,,-1,-14,701W,1000,,,
,2022/8/8,PRqRel,,0386413768/00010,,,-1,-15,701V,1000,,,
,2022/8/8,PRqRel,,0386413850/00010,,,-1,-16,701W,1000,,,
,2022/8/9,PRqRel,,0394592271/00010,,,-1,-17,701V,1000,,,
,2022/8/9,PRqRel,,0394592273/00010,,,-1,-18,701W,1000,,,
,2022/8/22,PRqRel,,0386413770/00010,,,-1,-19,701V,1000,,,
,2022/8/22,PRqRel,,0386413851/00010,,,-1,-20,701W,1000,,,
,2022/8/23,PRqRel,,0398299446/00010,,,-1,-21,701V,1000,,,
,2022/9/4,PRqRel,,0386413772/00010,,,-1,-22,701V,1000,,,
,2022/9/4,PRqRel,,0386413852/00010,,,-1,-23,701W,1000,,,
,2022/9/5,PRqRel,,0399520144/00010,,,-1,-24,701V,1000,,,
,2022/9/14,PRqRel,,0386413773/00010,,,-1,-25,701V,1000,,,
,2022/9/14,PRqRel,,0386413853/00010,,,-1,-26,701W,1000,,,
,2022/9/15,PRqRel,,0403804011/00010,,,-1,-27,701V,1000,,,
,2022/9/28,PRqRel,,0386413775/00010,,,-1,-28,701V,1000,,,
,2022/9/28,PRqRel,,0386413854/00010,,,-1,-29,701W,1000,,,
,2022/9/29,PRqRel,,0405367334/00010,,,-1,-30,701V,1000,,,
,2022/10/17,PRqRel,,0386413777/00010,,,-1,-31,701V,1000,,,
,2022/10/17,PRqRel,,0386413855/00010,,,-1,-32,701W,1000,,,
,2022/10/18,PRqRel,,0409809266/00010,,,-1,-33,701V,1000,,,
,2022/10/31,PRqRel,,0386413779/00010,,,-2,-35,701V,1000,,,
,2022/10/31,PRqRel,,0386413856/00010,,,-1,-36,701W,1000,,,
,2022/11/14,PRqRel,,0386413781/00010,,,-2,-38,701V,1000,,,
,2022/11/14,PRqRel,,0386413857/00010,,,-1,-39,701W,1000,,,
,2022/11/28,PRqRel,,0386413783/00010,,,-2,-41,701V,1000,,,
,2022/11/28,PRqRel,,0386413847/00010,,,-1,-42,701W,1000,,,
,2022/12/11,PRqRel,,0386413858/00010,,,-4,-46,701W,1000,,,
,2022/12/12,PRqRel,,0386413784/00010,,,-4,-50,701V,1000,,,
,2022/12/18,PRqRel,,0386413859/00010,,,-2,-52,701W,1000,,,
,2022/12/19,PRqRel,,0386413785/00010,,,-4,-56,701V,1000,,,
,2022/12/26,PRqRel,,0386413786/00010,,,-4,-60,701V,1000,,,
,2022/12/26,PRqRel,,0386413860/00010,,,-4,-64,701W,1000,,,
,2023/1/9,PRqRel,,0386413787/00010,,,-4,-68,701V,1000,,,
,2023/1/9,PRqRel,,0386413861/00010,,,-2,-70,701W,1000,,,
,2023/1/16,PRqRel,,0386413788/00010,,,-4,-74,701V,1000,,,
,2023/1/16,PRqRel,,0386413862/00010,,,-4,-78,701W,1000,,,
,2023/1/20,PRqRel,,0386413789/00010,,,-6,-84,701V,1000,,,
,2023/1/20,PRqRel,,0386413863/00010,,,-4,-88,701W,1000,,,
,2023/1/30,PRqRel,,0386413790/00010,,,-6,-94,701V,1000,,,
,2023/1/30,PRqRel,,0386413864/00010,,,-4,-98,701W,1000,,,
,2023/2/6,PRqRel,,0386413791/00010,,,-6,-104,701V,1000,,,
,2023/2/6,PRqRel,,0386413865/00010,,,-4,-108,701W,1000,,,
,2023/2/13,PRqRel,,0386413792/00010,,,-6,-114,701V,1000,,,
,2023/2/13,PRqRel,,0386413866/00010,,,-4,-118,701W,1000,,,
,2023/2/20,PRqRel,,0386413793/00010,,,-6,-124,701V,1000,,,
,2023/2/20,PRqRel,,0386413867/00010,,,-4,-128,701W,1000,,,
,2023/2/27,PRqRel,,0386413794/00010,,,-6,-134,701V,1000,,,
,2023/2/27,PRqRel,,0386413868/00010,,,-4,-138,701W,1000,,,
,2023/3/6,PRqRel,,0386413795/00010,,,-6,-144,701V,1000,,,
,2023/3/6,PRqRel,,0386413869/00010,,,-4,-148,701W,1000,,,
,2023/3/13,PRqRel,,0386413796/00010,,,-6,-154,701V,1000,,,
,2023/3/13,PRqRel,,0386413870/00010,,,-4,-158,701W,1000,,,
,2023/3/20,PRqRel,,0386413797/00010,,,-6,-164,701V,1000,,,
,2023/3/20,PRqRel,,0386413871/00010,,,-4,-168,701W,1000,,,
,2023/3/27,PRqRel,,0386413798/00010,,,-6,-174,701V,1000,,,
,2023/3/27,PRqRel,,0386413872/00010,,,-4,-178,701W,1000,,,
,2023/4/3,PRqRel,,0386413799/00010,,,-6,-184,701V,1000,,,
,2023/4/3,PRqRel,,0386413873/00010,,,-2,-186,701W,1000,,,
,2023/4/10,PRqRel,,0386413800/00010,,,-6,-192,701V,1000,,,
,2023/4/10,PRqRel,,0386413874/00010,,,-4,-196,701W,1000,,,
,2023/4/17,PRqRel,,0386413801/00010,,,-6,-202,701V,1000,,,
,2023/4/17,PRqRel,,0386413875/00010,,,-2,-204,701W,1000,,,
,2023/4/24,PRqRel,,0386413802/00010,,,-6,-210,701V,1000,,,
,2023/4/24,PRqRel,,0386413876/00010,,,-4,-214,701W,1000,,,
,2023/4/30,PRqRel,,0386413803/00010,,,-6,-220,701V,1000,,,
,2023/4/30,PRqRel,,0386413877/00010,,,-2,-222,701W,1000,,,
,2023/5/8,PRqRel,,0386413804/00010,,,-6,-228,701V,1000,,,
,2023/5/8,PRqRel,,0386413878/00010,,,-4,-232,701W,1000,,,
,2023/5/15,PRqRel,,0386413805/00010,,,-6,-238,701V,1000,,,
,2023/5/15,PRqRel,,0386413879/00010,,,-2,-240,701W,1000,,,
,2023/5/22,PRqRel,,0386413806/00010,,,-5,-245,701V,1000,,,
,2023/5/22,PRqRel,,0386413880/00010,,,-4,-249,701W,1000,,,
,2023/5/29,PRqRel,,0386413807/00010,,,-5,-254,701V,1000,,,
,2023/5/29,PRqRel,,0386413881/00010,,,-2,-256,701W,1000,,,
,2023/6/5,PRqRel,,0386413808/00010,,,-5,-261,701V,1000,,,
,2023/6/5,PRqRel,,0386413882/00010,,,-4,-265,701W,1000,,,
,2023/6/12,PRqRel,,0386413809/00010,,,-5,-270,701V,1000,,,
,2023/6/12,PRqRel,,0386413883/00010,,,-2,-272,701W,1000,,,
