,Planned dates,MRP element,Start date,MRP elmnt data,Rescheduling date,Exception,Rec./reqd qty,Avail. quantity,Plng plant,Stor. Loc.,Delivery P,Shipping c
,2022/6/14,PurRqs,2022/6/13,0386413843/00010,,,1,1,701B,1000,,
,2022/6/15,PurRqs,2022/6/14,0386413842/00010,,,1,1,701B,1000,,
,2022/6/28,PurRqs,2022/6/27,0387480608/00010,,,1,1,701B,1000,,
,2022/6/29,PurRqs,2022/6/28,0386413846/00010,,,1,1,701B,1000,,
,2022/7/12,PurRqs,2022/7/11,0390101577/00010,,,1,1,701B,1000,,
,2022/7/13,PurRqs,2022/7/12,0386413848/00010,,,1,1,701B,1000,,
,2022/7/26,PurRqs,2022/7/25,0386413849/00010,,,1,1,701B,1000,,
,2022/7/27,PurRqs,2022/7/26,0392570871/00010,,,1,1,701B,1000,,
,2022/8/9,PurRqs,2022/8/8,0386413850/00010,,,1,1,701B,1000,,
,2022/8/10,PurRqs,2022/8/9,0394592273/00010,,,1,1,701B,1000,,
,2022/8/23,PurRqs,2022/8/22,0386413851/00010,,,1,1,701B,1000,,
,2022/9/5,PurRqs,2022/9/2,0386413852/00010,,,1,1,701B,1000,,
,2022/9/15,PurRqs,2022/9/14,0386413853/00010,,,1,1,701B,1000,,
,2022/9/29,PurRqs,2022/9/28,0386413854/00010,,,1,1,701B,1000,,
,2022/10/18,PurRqs,2022/10/17,0386413855/00010,,,1,1,701B,1000,,
,2022/11/1,PurRqs,2022/10/31,0386413856/00010,,,1,1,701B,1000,,
,2022/11/15,PurRqs,2022/11/14,0386413857/00010,,,1,1,701B,1000,,
,2022/11/29,PurRqs,2022/11/28,0386413847/00010,,,1,1,701B,1000,,
,2022/12/12,PurRqs,2022/12/9,0386413858/00010,,,4,4,701B,1000,,
,2022/12/19,PurRqs,2022/12/16,0386413859/00010,,,2,2,701B,1000,,
,2022/12/27,PurRqs,2022/12/26,0386413860/00010,,,4,4,701B,1000,,
,2023/1/10,PurRqs,2023/1/9,0386413861/00010,,,2,2,701B,1000,,
,2023/1/17,PurRqs,2023/1/16,0386413862/00010,,,4,4,701B,1000,,
,2023/1/24,PurRqs,2023/1/23,0386413863/00010,,,4,4,701B,1000,,
,2023/1/31,PurRqs,2023/1/30,0386413864/00010,,,4,4,701B,1000,,
,2023/2/7,PurRqs,2023/2/6,0386413865/00010,,,4,4,701B,1000,,
,2023/2/14,PurRqs,2023/2/13,0386413866/00010,,,4,4,701B,1000,,
,2023/2/21,PurRqs,2023/2/20,0386413867/00010,,,4,4,701B,1000,,
,2023/2/28,PurRqs,2023/2/27,0386413868/00010,,,4,4,701B,1000,,
,2023/3/7,PurRqs,2023/3/6,0386413869/00010,,,4,4,701B,1000,,
,2023/3/14,PurRqs,2023/3/13,0386413870/00010,,,4,4,701B,1000,,
,2023/3/21,PurRqs,2023/3/20,0386413871/00010,,,4,4,701B,1000,,
,2023/3/28,PurRqs,2023/3/27,0386413872/00010,,,4,4,701B,1000,,
,2023/4/4,PurRqs,2023/4/3,0386413873/00010,,,2,2,701B,1000,,
,2023/4/11,PurRqs,2023/4/10,0386413874/00010,,,4,4,701B,1000,,
,2023/4/18,PurRqs,2023/4/17,0386413875/00010,,,2,2,701B,1000,,
,2023/4/25,PurRqs,2023/4/24,0386413876/00010,,,4,4,701B,1000,,
,2023/5/2,PurRqs,2023/5/1,0386413877/00010,,,2,2,701B,1000,,
,2023/5/9,PurRqs,2023/5/8,0386413878/00010,,,4,4,701B,1000,,
,2023/5/16,PurRqs,2023/5/15,0386413879/00010,,,2,2,701B,1000,,
,2023/5/23,PurRqs,2023/5/22,0386413880/00010,,,4,4,701B,1000,,
,2023/5/30,PurRqs,2023/5/29,0386413881/00010,,,2,2,701B,1000,,
,2023/6/6,PurRqs,2023/6/5,0386413882/00010,,,4,4,701B,1000,,
,2023/6/13,PurRqs,2023/6/12,0386413883/00010,,,2,2,701B,1000,,
,2023/6/20,PurRqs,2023/6/19,0386413884/00010,,,4,4,701B,1000,,
,2023/6/27,PurRqs,2023/6/26,0386413885/00010,,,2,2,701B,1000,,
,2023/7/4,PurRqs,2023/7/3,0386413886/00010,,,4,4,701B,1000,,
,2023/7/11,PurRqs,2023/7/10,0386413887/00010,,,2,2,701B,1000,,
,2023/7/18,PurRqs,2023/7/17,0386413888/00010,,,4,4,701B,1000,,
,2023/7/25,PurRqs,2023/7/24,0386413889/00010,,,2,2,701B,1000,,
,2023/8/1,PurRqs,2023/7/31,0386413890/00010,,,4,4,701B,1000,,
,2023/8/8,PurRqs,2023/8/7,0386413891/00010,,,2,2,701B,1000,,
,2023/8/15,PurRqs,2023/8/14,0386413892/00010,,,4,4,701B,1000,,
,2023/8/22,PurRqs,2023/8/21,0386413893/00010,,,2,2,701B,1000,,
,2023/8/29,PurRqs,2023/8/28,0386413894/00010,,,4,4,701B,1000,,
,2023/9/5,PurRqs,2023/9/4,0386413895/00010,,,2,2,701B,1000,,
,2023/9/19,PurRqs,2023/9/18,0386413896/00010,,,2,2,701B,1000,,
,2023/9/26,PurRqs,2023/9/25,0386413897/00010,,,4,4,701B,1000,,
,2023/10/3,PurRqs,2023/10/2,0386413898/00010,,,2,2,701B,1000,,
,2023/10/10,PurRqs,2023/10/9,0386413899/00010,,,4,4,701B,1000,,
,2023/10/17,PurRqs,2023/10/16,0386413900/00010,,,2,2,701B,1000,,
,2023/10/24,PurRqs,2023/10/23,0386413901/00010,,,4,4,701B,1000,,
,2023/10/31,PurRqs,2023/10/30,0386413902/00010,,,2,2,701B,1000,,
,2023/11/7,PurRqs,2023/11/6,0386413903/00010,,,4,4,701B,1000,,
,2023/11/14,PurRqs,2023/11/13,0386413904/00010,,,4,4,701B,1000,,
,2023/11/21,PurRqs,2023/11/20,0386413905/00010,,,4,4,701B,1000,,
,2023/11/28,PurRqs,2023/11/27,0387480609/00010,,,4,4,701B,1000,,
,2023/12/11,PurRqs,2023/12/8,0399520152/00010,,,5,5,701B,1000,,
,2023/12/18,PurRqs,2023/12/15,0399520153/00010,,,4,4,701B,1000,,
,2023/12/26,PurRqs,2023/12/22,0399520154/00010,,,5,5,701B,1000,,
,2024/1/2,PurRqs,2024/1/1,0399520155/00010,,,4,4,701B,1000,,
,2024/1/9,PurRqs,2024/1/8,0399520156/00010,,,5,5,701B,1000,,
,2024/1/23,PurRqs,2024/1/22,0399520157/00010,,,4,4,701B,1000,,
,2024/1/30,PurRqs,2024/1/29,0399520158/00010,,,5,5,701B,1000,,
,2024/2/6,PurRqs,2024/2/5,0401089592/00010,,,4,4,701B,1000,,
,2024/2/13,PurRqs,2024/2/12,0402399683/00010,,,5,5,701B,1000,,
,2024/2/20,PurRqs,2024/2/19,0403804017/00010,,,4,4,701B,1000,,
,2024/2/27,PurRqs,2024/2/26,0405367336/00010,,,5,5,701B,1000,,
,2024/3/5,PurRqs,2024/3/4,0403804016/00010,,,4,4,701B,1000,,
